rating,p_num,t_num
1,511,26513
1,511,15542
1,511,26913
1,511,5497
1,511,21167
1,511,13285
1,511,29679
1,511,17317
1,511,3878
1,511,21778
1,511,10924
1,511,20181
1,511,21041
1,511,2515
1,511,14636
1,511,16432
1,511,12647
1,511,22735
1,511,21396
1,511,4582
1,511,13709
1,511,23059
1,511,28909
1,511,23578
1,511,13818
1,511,29725
1,511,29681
1,511,15179
1,511,7789
1,511,28699
1,511,16866
1,511,19468
1,511,25424
1,511,20878
1,511,8709
1,511,30170
1,511,4904
1,511,18885
1,511,19377
1,511,17190
1,511,1246
1,511,2582
1,511,23156
1,511,6352
1,511,2009
1,511,690
1,511,15321
1,511,21962
1,511,11406
1,511,26365
1,511,17384
1,511,4584
1,511,25424
1,69,1940
1,69,7850
1,69,14900
1,69,19901
1,69,5225
1,69,25163
1,69,10503
1,69,27723
1,69,27354
1,69,12325
1,69,25876
1,69,21014
1,69,1042
1,69,17490
1,69,23584
1,69,22363
1,69,9317
1,69,5479
1,69,24453
1,69,9346
1,69,8826
1,69,19548
1,69,8704
1,69,11125
1,69,4311
1,69,3256
1,69,24372
1,69,17075
1,69,13880
1,69,25596
1,69,24358
1,69,8762
1,69,21165
1,69,26754
1,69,20726
1,69,29644
1,69,15154
1,69,25195
1,69,29348
1,69,27802
1,687,30455
1,687,15121
1,687,9049
1,687,13058
1,687,19081
1,687,23552
1,687,934
1,687,1993
1,687,7907
1,687,12278
1,687,24574
1,687,30773
1,687,18057
1,687,18656
1,687,6683
1,687,30785
1,687,23115
1,687,16467
1,687,30784
1,687,23102
1,687,3441
1,687,12330
1,687,21295
1,687,1703
1,687,13808
1,687,27872
1,687,25608
1,687,10637
1,687,21955
1,687,4160
1,687,30058
1,687,6980
1,687,17192
1,687,18197
1,687,6897
1,687,30778
1,687,21049
1,687,13325
1,687,14264
1,687,7906
1,687,30150
1,687,1790
1,687,27545
1,687,18533
1,687,7124
1,687,28437
1,687,261
1,687,21501
1,687,286
1,687,30791
1,687,11074
1,687,21213
1,687,5715
1,687,14201
1,687,24991
1,687,29660
1,687,11085
1,687,4878
1,687,28624
1,687,1501
1,687,4025
1,687,13159
1,687,5722
1,687,30334
1,687,16021
1,696,30469
1,696,5865
1,696,19691
1,696,7047
1,696,21532
1,696,29969
1,696,7019
1,696,22034
1,696,21895
1,696,8765
1,696,15512
1,696,17647
1,696,16899
1,696,23923
1,696,13327
1,696,20304
1,696,207
1,696,17696
1,696,23166
1,696,2680
1,696,13772
1,696,12002
1,696,5899
1,696,7488
1,696,28726
1,696,22569
1,696,27450
1,696,27290
1,696,29721
1,696,4074
1,696,16632
1,696,24675
1,696,27030
1,696,10571
1,696,2837
1,696,13311
1,696,6008
1,696,3916
1,696,10169
1,696,3942
1,696,4113
1,696,15981
1,696,14945
1,696,5283
1,696,16876
1,696,16996
1,696,12372
1,696,18401
1,696,867
1,696,11982
1,696,23912
1,696,24369
1,696,19758
1,696,8411
1,696,21343
1,696,23034
1,696,14501
1,696,21874
1,696,15859
1,696,174
1,696,5590
1,696,7676
1,696,7497
1,696,7323
1,696,27693
1,696,19525
1,696,30621
1,696,5613
1,696,13389
1,696,19948
1,696,13788
1,696,13061
1,696,26887
1,696,28416
1,696,27024
1,696,28421
1,696,15941
1,696,23689
1,696,28462
1,696,18097
1,696,29234
1,696,18976
1,696,20161
1,696,30428
1,696,10890
1,696,1293
1,696,29478
1,696,15606
1,696,28655
1,696,6742
1,696,7207
1,696,27187
1,696,22290
1,696,5616
1,696,27215
1,696,13106
1,696,18380
1,696,18276
1,696,23546
1,696,7022
1,696,13867
1,696,22944
1,696,10969
1,696,29074
1,696,4638
1,696,15855
1,696,15201
1,696,8111
1,696,23040
1,696,5646
1,696,3473
1,696,2743
1,696,29176
1,696,12377
1,696,685
1,696,4610
1,696,23093
1,696,4054
1,696,27674
1,696,20289
1,696,6945
1,696,12526
1,696,29561
1,696,29925
1,696,7412
1,696,13479
1,696,7375
1,39,481
1,39,26794
1,39,29459
1,39,11786
1,39,13513
1,39,28168
1,39,221
1,39,26868
1,39,23688
1,39,3550
1,39,1526
1,39,2961
1,39,21436
1,39,25364
1,39,29016
1,39,22950
1,39,26757
1,39,19007
1,543,28431
1,543,24769
1,543,19468
1,543,22431
1,543,12654
1,543,22449
1,543,15910
1,543,26004
1,543,18528
1,543,26485
1,543,2031
1,543,29679
1,543,20523
1,543,4454
1,543,24357
1,543,5659
1,543,13762
1,543,7613
1,543,18911
1,543,13762
1,543,4928
1,543,9449
1,543,19480
1,543,28297
1,543,16338
1,543,8709
1,543,23655
1,543,1850
1,543,19821
1,543,26849
1,543,26082
1,543,26004
1,543,16704
1,543,2904
1,543,13195
1,543,16338
1,543,26303
1,543,16340
1,543,11719
1,543,15938
1,543,14117
1,543,2695
1,543,1189
1,543,5833
1,543,11731
1,543,22676
1,543,29764
1,543,11872
1,543,28256
1,543,12036
1,543,24119
1,543,17529
1,543,14936
1,543,3073
1,543,19539
1,543,16356
1,543,7096
1,543,28119
1,543,11872
1,543,11061
1,543,21030
1,543,28995
1,543,9762
1,543,13694
1,543,13690
1,543,29199
1,543,28119
1,543,28020
1,543,2514
1,543,2695
1,543,26357
1,543,15752
1,543,20577
1,543,4853
1,543,3311
1,543,24096
1,543,22481
1,543,20166
1,543,4143
1,543,26593
1,543,2965
1,257,12077
1,257,12077
1,257,3835
1,257,13446
1,257,21485
1,257,19993
1,257,18093
1,257,30236
1,257,17015
1,257,9332
1,257,11559
1,257,29676
1,257,9905
1,257,25544
1,257,4487
1,257,7344
1,257,5828
1,27,275
1,27,10371
1,27,18947
1,27,23145
1,27,10247
1,27,4021
1,27,12688
1,27,8221
1,27,13714
1,27,29283
1,27,24912
1,27,15320
1,27,5567
1,27,12067
1,27,11575
1,27,3978
1,27,7852
1,27,4903
1,27,21989
1,27,29216
1,27,20764
1,27,189
1,27,16399
1,27,23231
1,27,19082
1,27,1172
1,27,18202
1,27,24156
1,27,3125
1,27,3132
1,27,4555
1,27,11762
1,27,25508
1,27,2152
1,27,18130
1,27,15681
1,27,24107
1,27,5212
1,27,21989
1,27,20674
1,27,13819
1,27,17109
1,27,16877
1,27,26284
1,27,24155
1,27,14519
1,27,10862
1,27,18009
1,27,8344
1,27,22457
1,27,15282
1,27,7097
1,27,1879
1,27,1366
1,73,1991
1,73,27250
1,73,437
1,73,29126
1,73,9845
1,73,26831
1,73,22247
1,73,15699
1,73,8409
1,73,28112
1,73,28605
1,73,22375
1,73,5120
1,73,20927
1,73,3952
1,73,16825
1,73,19185
1,73,19085
1,73,25686
1,73,14704
1,73,8166
1,73,14648
1,73,13883
1,73,26774
1,73,10898
1,73,12210
1,73,18771
1,73,721
1,73,1192
1,73,17187
1,73,14558
1,73,6534
1,73,10362
1,73,28481
1,73,23359
1,73,20759
1,73,29717
1,73,23349
1,73,11714
1,73,10769
1,73,5946
1,73,20935
1,73,20504
1,73,23379
1,73,30108
1,73,16181
1,73,24572
1,729,30511
1,729,11007
1,729,11007
1,729,7033
1,729,8454
1,729,13293
1,729,4563
1,729,7180
1,729,2291
1,729,23266
1,729,6228
1,729,12421
1,729,3459
1,729,13438
1,729,9653
1,729,19169
1,729,13962
1,729,14042
1,729,25332
1,729,17694
1,729,11237
1,729,6965
1,568,30251
1,568,2857
1,568,1274
1,568,19800
1,568,20956
1,568,25916
1,568,26574
1,568,4669
1,568,24495
1,568,19983
1,568,14995
1,568,6568
1,568,29070
1,568,13700
1,568,17416
1,568,21789
1,568,24004
1,568,6007
1,568,30468
1,568,9037
1,568,18365
1,568,11743
1,568,7016
1,568,30392
1,568,21503
1,568,7831
1,568,22839
1,568,30465
1,568,29693
1,568,13677
1,568,3225
1,568,20069
1,568,22342
1,568,16332
1,568,9549
1,568,6437
1,568,5079
1,568,7001
1,568,20839
1,568,6097
1,568,23902
1,568,29042
1,568,3499
1,568,18172
1,568,5698
1,568,8976
1,568,9048
1,568,11327
1,568,26304
1,568,18013
1,568,21751
1,568,3874
1,568,27712
1,568,22966
1,568,16944
1,568,8418
1,568,11304
1,568,10528
1,568,14668
1,568,3211
1,568,19943
1,568,30519
1,568,11455
1,568,6933
1,568,20640
1,568,25396
1,568,27566
1,568,26508
1,568,26228
1,568,6887
1,568,24438
1,568,14807
1,568,1235
1,530,27645
1,530,13023
1,530,12150
1,530,11246
1,530,2647
1,530,8334
1,530,18760
1,530,17927
1,530,27250
1,530,26039
1,530,12983
1,530,16281
1,530,19970
1,530,12590
1,530,15216
1,530,24767
1,530,15662
1,530,847
1,530,22814
1,530,6856
1,530,15212
1,530,29926
1,530,27840
1,530,24827
1,530,22480
1,530,21814
1,530,20765
1,530,20361
1,530,20192
1,530,19011
1,530,92
1,530,15193
1,530,12591
1,530,9331
1,530,5900
1,530,4499
1,530,1827
1,530,21444
1,530,5430
1,530,1710
1,530,16370
1,530,4904
1,530,13152
1,530,10705
1,530,5625
1,530,8275
1,530,2370
1,530,20091
1,530,29913
1,530,3543
1,530,17106
1,530,29185
1,530,26884
1,530,11372
1,530,21442
1,530,22650
1,530,7024
1,530,9189
1,530,18055
1,530,25845
1,530,13064
1,530,8698
1,530,4215
1,530,6646
1,530,7533
1,530,17528
1,530,18388
1,530,19089
1,530,22824
1,530,27026
1,530,27449
1,530,13212
1,530,1142
1,530,2250
1,530,2961
1,530,4062
1,530,5624
1,530,6646
1,530,7368
1,530,7437
1,530,7854
